product_id,name,category,class,deployment,price,rating,stock_quantity,brand,tags,description
10000001,Modern Wall Art,Home Decor,Budget,Warehouse,49.59,3.8,181,NovaGear,"design, piece, level, time, need",Modern Wall Art designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000002,Classic Cushion,Kitchenware,Budget,Online,312.69,4.5,156,UrbanThread,"community, rise, political, yeah, identify",Classic Cushion designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000003,Peru Kurta,Women Apparel,Budget,Online,219.4,3.2,502,EverHome,"rise, action, set, rest, form",Peru Kurta designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000004,DarkGray Jeans,Men Apparel,Premium,Omnichannel,279.05,3.6,491,StyleHive,"war, trouble, husband, choose, of",DarkGray Jeans designed for comfort and everyday retail use. High-quality men apparel product suitable for modern lifestyle and seasonal campaigns.
10000005,Smart Wall Art,Home Decor,Budget,Online,133.52,4.8,408,TrendAura,"lose, head, together, may, bank",Smart Wall Art designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000006,Modern Wall Art,Kitchenware,Budget,Online,197.75,5.0,30,PeakFit,"forget, drop, effort, model, Congress",Modern Wall Art designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000007,Salmon Jacket,Women Apparel,Budget,Warehouse,274.26,3.3,458,SwiftStep,"training, behind, join, explain, point",Salmon Jacket designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000008,Chocolate Kurta,Kids Apparel,Premium,Omnichannel,326.32,3.9,155,PeakFit,"treatment, interview, message, believe, she",Chocolate Kurta designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000009,Progressive mission-critical database,Accessories,Budget,Omnichannel,189.33,3.8,465,StyleHive,"effect, allow, keep, top, data",Progressive mission-critical database designed for comfort and everyday retail use. High-quality accessories product suitable for modern lifestyle and seasonal campaigns.
10000010,Persistent needs-based instruction set,Accessories,Budget,Omnichannel,290.02,4.9,267,TrendAura,"technology, kind, nothing, agent, four",Persistent needs-based instruction set designed for comfort and everyday retail use. High-quality accessories product suitable for modern lifestyle and seasonal campaigns.
10000011,Vision-oriented multi-tasking knowledge user,Electronics Accessories,Standard,Warehouse,281.51,4.2,27,PeakFit,"anyone, forget, move, away, factor",Vision-oriented multi-tasking knowledge user designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000012,Multi-layered modular migration,Sports & Outdoors,Standard,Warehouse,234.88,3.2,128,LuxeWear,"international, fight, lose, play, level",Multi-layered modular migration designed for comfort and everyday retail use. High-quality sports & outdoors product suitable for modern lifestyle and seasonal campaigns.
10000013,Modern Storage Box,Kitchenware,Standard,Online,178.27,3.2,514,SwiftStep,"star, organization, tonight, foreign, attention",Modern Storage Box designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000014,Reverse-engineered needs-based workforce,Beauty & Personal Care,Standard,Warehouse,261.83,3.2,419,EverHome,"kind, fish, camera, could, fear",Reverse-engineered needs-based workforce designed for comfort and everyday retail use. High-quality beauty & personal care product suitable for modern lifestyle and seasonal campaigns.
10000015,Synergized impactful open system,Electronics Accessories,Premium,Omnichannel,139.25,3.5,364,KraftHome,"easy, no, network, when, also",Synergized impactful open system designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000016,White Top,Men Apparel,Budget,Online,178.15,4.5,10,SwiftStep,"never, rate, meet, back, fight",White Top designed for comfort and everyday retail use. High-quality men apparel product suitable for modern lifestyle and seasonal campaigns.
10000017,LightGreen Hoodie,Women Apparel,Budget,Omnichannel,91.11,4.0,67,SwiftStep,"why, investment, improve, seem, size",LightGreen Hoodie designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000018,DarkSeaGreen Kurta,Kids Apparel,Standard,Online,175.51,4.0,368,StyleHive,"institution, war, performance, raise, bill",DarkSeaGreen Kurta designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000019,ForestGreen Jacket,Kids Apparel,Budget,Warehouse,156.05,3.9,91,UrbanThread,"seat, recently, son, either, draw",ForestGreen Jacket designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000020,MediumSpringGreen Jeans,Women Apparel,Standard,Online,141.43,4.0,157,KraftHome,"section, somebody, daughter, picture, change",MediumSpringGreen Jeans designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000021,DeepSkyBlue Boots,Footwear,Premium,Warehouse,16.36,4.2,531,StyleHive,"phone, history, best, perhaps, dream",DeepSkyBlue Boots designed for comfort and everyday retail use. High-quality footwear product suitable for modern lifestyle and seasonal campaigns.
10000022,Modern Wall Art,Home Decor,Budget,Online,319.38,4.8,111,PeakFit,"huge, future, billion, whether, on",Modern Wall Art designed for comfort and everyday retail use. High-quality home decor product suitable for modern lifestyle and seasonal campaigns.
10000023,FloralWhite Jeans,Women Apparel,Standard,Omnichannel,221.28,4.2,436,LuxeWear,"inside, player, a, weight, message",FloralWhite Jeans designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000024,Teal Hoodie,Women Apparel,Standard,Omnichannel,344.07,3.4,264,PeakFit,"value, water, manager, arrive, under",Teal Hoodie designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000025,Seamless systemic workforce,Beauty & Personal Care,Standard,Warehouse,259.1,3.7,497,NovaGear,"even, international, prevent, model, administration",Seamless systemic workforce designed for comfort and everyday retail use. High-quality beauty & personal care product suitable for modern lifestyle and seasonal campaigns.
10000026,Synergized explicit customer loyalty,Electronics Accessories,Standard,Warehouse,257.1,3.7,354,SwiftStep,"kid, yeah, attorney, tree, little",Synergized explicit customer loyalty designed for comfort and everyday retail use. High-quality electronics accessories product suitable for modern lifestyle and seasonal campaigns.
10000027,Azure Sneakers,Footwear,Budget,Online,162.97,4.6,282,TrendAura,"so, continue, sense, person, hope",Azure Sneakers designed for comfort and everyday retail use. High-quality footwear product suitable for modern lifestyle and seasonal campaigns.
10000028,Teal Kurta,Women Apparel,Premium,Omnichannel,301.44,4.5,294,LuxeWear,"start, enough, toward, measure, thank",Teal Kurta designed for comfort and everyday retail use. High-quality women apparel product suitable for modern lifestyle and seasonal campaigns.
10000029,Phased composite conglomeration,Accessories,Premium,Omnichannel,309.14,3.3,398,PeakFit,"answer, cause, cut, when, like",Phased composite conglomeration designed for comfort and everyday retail use. High-quality accessories product suitable for modern lifestyle and seasonal campaigns.
10000030,Versatile solution-oriented structure,Sports & Outdoors,Budget,Omnichannel,83.94,4.0,192,UrbanThread,"serve, it, sport, meeting, difficult",Versatile solution-oriented structure designed for comfort and everyday retail use. High-quality sports & outdoors product suitable for modern lifestyle and seasonal campaigns.
10000031,Eco Wall Art,Kitchenware,Standard,Omnichannel,210.23,3.9,467,SwiftStep,"politics, name, decision, among, last",Eco Wall Art designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000032,MistyRose Dress,Kids Apparel,Premium,Warehouse,303.01,4.0,411,SwiftStep,"real, wait, receive, change, friend",MistyRose Dress designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000033,Vision-oriented full-range extranet,Beauty & Personal Care,Budget,Omnichannel,92.49,3.9,34,PeakFit,"military, where, recently, memory, against",Vision-oriented full-range extranet designed for comfort and everyday retail use. High-quality beauty & personal care product suitable for modern lifestyle and seasonal campaigns.
10000034,Gainsboro T-Shirt,Kids Apparel,Budget,Omnichannel,222.64,4.5,272,StyleHive,"weight, dream, could, carry, despite",Gainsboro T-Shirt designed for comfort and everyday retail use. High-quality kids apparel product suitable for modern lifestyle and seasonal campaigns.
10000035,Eco Wall Art,Kitchenware,Standard,Retail Store,195.19,4.4,66,EverHome,"team, he, expert, simply, dark",Eco Wall Art designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000036,Smart Cookware Set,Kitchenware,Budget,Omnichannel,115.18,4.2,569,EverHome,"marriage, report, lawyer, note, difficult",Smart Cookware Set designed for comfort and everyday retail use. High-quality kitchenware product suitable for modern lifestyle and seasonal campaigns.
10000037,LightSeaGreen Kurta,Men Apparel,Premium,Warehouse,211.8,3.9,28,PeakFit,"late, plan, indicate, player, represent",LightSeaGreen Kurta designed for comfort and everyday retail use. High-quality men apparel product suitable for modern lifestyle and seasonal campaigns.
